startDate,scenario,labelNS,northSouth,date,cumCO2,cumCO2_lwr,cumCO2_upr,fairShare350,fairShare15C,fairShare2C,overshoot15C,overshoot15Clwr,overshoot15Cupr,overshootFairShare350,overshootFairShare15C,overshootFairShare2C
1850,Historical,Global North,NRT,1906,57203336.9687,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.13,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1907,60204763.3477,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.14,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1908,63086544.7267,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.15,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1909,66078645.7067,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.15,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1910,69219868.3877,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.16,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1911,72392221.3697,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.17,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1912,75735826.4527,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.17,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1913,79354181.3367,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.18,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1914,82627916.6217,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.19,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1915,85847447.3077,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.2,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1916,89300035.7947,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.21,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1917,92880208.1827,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.21,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1918,96425195.5707,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.22,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1919,99461051.9597,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.23,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1920,102984095.6497,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.24,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1921,106029872.3407,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.24,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1922,109252214.5327,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.25,0,0,0.38087779244082254,1,1.3240245966020796
